greek_name,alpha-2,alpha-3
Αγία Λουκία,LC,LCA
Άγιος Βαρθολομαίος,BL,BLM
Άγιος Μαρτίνος (Γαλλία),MF,MAF
Άγιος Μαρτίνος (Ολλανδία),SX,SXM
Άγιος Βικέντιος και Γρεναδίνες,VC,VCT
Άγιος Μαρίνος,SM,SMR
Σαιν Πιερ και Μικελόν,PM,SPM
Άγιος Χριστόφορος και Νέβις,KN,KNA
Αζερμπαϊτζάν,AZ,AZE
Αίγυπτος,EG,EGY
Αιθιοπία,ET,ETH
Αϊτή,HT,HTI
Ακτή Ελεφαντοστού,CI,CIV
Αλβανία,AL,ALB
Αλγερία,DZ,DZA
Αμερικανική Σαμόα,AS,ASM
Ανατολικό Τιμόρ,TL,TLS
Ανγκόλα,AO,AGO
Ανγκουίλα,AI,AIA
Ανδόρρα,AD,AND
Ανταρκτική,AQ,ATA
Αντίγκουα και Μπαρμπούντα,AG,ATG
Αργεντινή,AR,ARG
Αρμενία,AM,ARM
Αρούμπα,AW,ABW
Αυστραλία,AU,AUS
Αυστρία,AT,AUT
Αφγανιστάν,AF,AFG
Βανουάτου,VU,VUT
Βατικανό,VA,VAT
Βέλγιο,BE,BEL
Βενεζουέλα,VE,VEN
Βερμούδες,BM,BMU
Βιετνάμ,VN,VNM
Βολιβία,BO,BOL
Βόρεια Κορέα,KP,PRK
Βοσνία-Ερζεγοβίνη,BA,BIH
Βουλγαρία,BG,BGR
Βραζιλία,BR,BRA
Βρετανικό Έδαφος Ινδικού Ωκεανού,IO,IOT
Βρετανικές Παρθένοι Νήσοι,VG,VGB
Γαλλία,FR,FRA
Γαλλικά Νότια και Ανταρκτικά Εδάφη,TF,ATF
Γαλλική Γουιάνα,GF,GUF
Γαλλική Πολυνησία,PF,PYF
Γερμανία,DE,DEU
Γεωργία,GE,GEO
Γιβραλτάρ,GI,GIB
Γκάμπια,GM,GMB
Γκαμπόν,GA,GAB
Γκάνα,GH,GHA
Γκέρνσεϊ,GG,GGY
Γκουάμ,GU,GUM
Γουαδελούπη,GP,GLP
Γουατεμάλα,GT,GTM
Γουιάνα,GY,GUY
Γουινέα,GN,GIN
Γουινέα-Μπισσάου,GW,GNB
Γρενάδα,GD,GRD
Γροιλανδία,GL,GRL
Δανία,DK,DNK
Δομινικανή Δημοκρατία,DO,DOM
Δυτική Όχθη,PS,PSE
Δυτική Σαχάρα,EH,ESH
Ελ Σαλβαδόρ,SV,SLV
Ελβετία,CH,CHE
Ελλάδα,GR,GRC
Ερυθραία,ER,ERI
Εσθονία,EE,EST
Ζάμπια,ZM,ZMB
Ζιμπάμπουε,ZW,ZWE
Ηνωμένα Αραβικά Εμιράτα,AE,ARE
Ηνωμένες Πολιτείες Αμερικής,US,USA
Απομακρυσμένες Νησίδες των Ηνωμένων Πολιτειών,UM,UMI
